Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered,Lat,Long_,Active,Combined_Key
Qinghai,China,2020-01-24,0,0,0,-19.015438,29.154857,0,"Qinghai, China"
Washington,US,2020-01-24,1,0,0,-19.015438,29.154857,1,"Washington, US"
Chicago,US,2020-01-24,1,0,0,-19.015438,29.154857,1,"Chicago, US"
 ,Japan,2020-01-24,2,0,0,-19.015438,29.154857,2," , Japan"
 ,Thailand,2020-01-24,5,0,0,-19.015438,29.154857,5," , Thailand"
 ,South Korea,2020-01-24,2,0,0,-19.015438,29.154857,2," , South Korea"
 ,Singapore,2020-01-24,3,0,0,-19.015438,29.154857,3," , Singapore"
 ,Vietnam,2020-01-24,2,0,0,-19.015438,29.154857,2," , Vietnam"
 ,France,2020-01-24,2,0,0,-19.015438,29.154857,2," , France"
Hubei,China,2020-01-25,761,40,32,-19.015438,29.154857,689,"Hubei, China"
Guangdong,China,2020-01-25,78,0,2,-19.015438,29.154857,76,"Guangdong, China"
Zhejiang,China,2020-01-25,62,0,1,-19.015438,29.154857,61,"Zhejiang, China"
Chongqing,China,2020-01-25,57,0,0,-19.015438,29.154857,57,"Chongqing, China"
Hunan,China,2020-01-25,43,0,0,-19.015438,29.154857,43,"Hunan, China"
Beijing,China,2020-01-25,41,0,2,-19.015438,29.154857,39,"Beijing, China"
Anhui,China,2020-01-25,39,0,0,-19.015438,29.154857,39,"Anhui, China"
Shanghai,China,2020-01-25,33,0,1,-19.015438,29.154857,32,"Shanghai, China"
Henan,China,2020-01-25,32,0,0,-19.015438,29.154857,32,"Henan, China"
Sichuan,China,2020-01-25,28,0,0,-19.015438,29.154857,28,"Sichuan, China"
Shandong,China,2020-01-25,27,0,0,-19.015438,29.154857,27,"Shandong, China"
Guangxi,China,2020-01-25,23,0,0,-19.015438,29.154857,23,"Guangxi, China"
Hainan,China,2020-01-25,19,0,0,-19.015438,29.154857,19,"Hainan, China"
Jiangxi,China,2020-01-25,18,0,0,-19.015438,29.154857,18,"Jiangxi, China"
Fujian,China,2020-01-25,18,0,0,-19.015438,29.154857,18,"Fujian, China"
Jiangsu,China,2020-01-25,18,0,1,-19.015438,29.154857,17,"Jiangsu, China"
Liaoning,China,2020-01-25,17,0,0,-19.015438,29.154857,17,"Liaoning, China"
Shaanxi,China,2020-01-25,15,0,0,-19.015438,29.154857,15,"Shaanxi, China"
Yunnan,China,2020-01-25,11,0,0,-19.015438,29.154857,11,"Yunnan, China"
Tianjin,China,2020-01-25,10,0,0,-19.015438,29.154857,10,"Tianjin, China"
Heilongjiang,China,2020-01-25,9,1,0,-19.015438,29.154857,8,"Heilongjiang, China"
Hebei,China,2020-01-25,8,1,0,-19.015438,29.154857,7,"Hebei, China"
Inner Mongolia,China,2020-01-25,7,0,0,-19.015438,29.154857,7,"Inner Mongolia, China"
Shanxi,China,2020-01-25,6,0,0,-19.015438,29.154857,6,"Shanxi, China"
Hong Kong,Hong Kong,2020-01-25,5,0,0,-19.015438,29.154857,5,"Hong Kong, Hong Kong"
Guizhou,China,2020-01-25,4,0,0,-19.015438,29.154857,4,"Guizhou, China"
Jilin,China,2020-01-25,4,0,0,-19.015438,29.154857,4,"Jilin, China"
Gansu,China,2020-01-25,4,0,0,-19.015438,29.154857,4,"Gansu, China"
Ningxia,China,2020-01-25,3,0,0,-19.015438,29.154857,3,"Ningxia, China"
Taiwan,Taiwan,2020-01-25,3,0,0,-19.015438,29.154857,3,"Taiwan, Taiwan"
Xinjiang,China,2020-01-25,3,0,0,-19.015438,29.154857,3,"Xinjiang, China"
Macau,Macau,2020-01-25,2,0,0,-19.015438,29.154857,2,"Macau, Macau"
Qinghai,China,2020-01-25,1,0,0,-19.015438,29.154857,1,"Qinghai, China"
Washington,US,2020-01-25,1,0,0,-19.015438,29.154857,1,"Washington, US"
Illinois,US,2020-01-25,1,0,0,-19.015438,29.154857,1,"Illinois, US"
 ,Japan,2020-01-25,2,0,0,-19.015438,29.154857,2," , Japan"
 ,Thailand,2020-01-25,7,0,0,-19.015438,29.154857,7," , Thailand"
 ,South Korea,2020-01-25,2,0,0,-19.015438,29.154857,2," , South Korea"
 ,Singapore,2020-01-25,3,0,0,-19.015438,29.154857,3," , Singapore"
 ,Vietnam,2020-01-25,2,0,0,-19.015438,29.154857,2," , Vietnam"
 ,France,2020-01-25,3,0,0,-19.015438,29.154857,3," , France"
 ,Australia,2020-01-25,4,0,0,-19.015438,29.154857,4," , Australia"
